,SCHEDULE IS SUBJECT TO CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of participants,3,16,2,3,2,1,3,25,21,9,4,3,3,2,12,10,33,3,2,3,1,1,3,,,87,,22,,,,,,,,,,,,,,,,274
Number of teams,1,5,1,1,1,1,1,25,6,9,1,1,1,2,3,3,11,1,1,1,1,1,3,,,87,,1,1,1,1,1,1,6,1,2,1,1,1,1,2,1,,190
Location,C1345,E-Hall,D1427,C1339,E1508,C1345,C1339,E-Hall (E1506),Small Gym,Small Gym,E1504,C1339,C1339,D1427,E-Hall,E1506,E-Hall,C1338,C1338,C1338,E2515,E1510,E1510,E2515,C1346,,,,,,,,,,,,,,,,,,,
Event,MS,UTE,MS,MS,MS,MS,MS,MS / NQE / UTE,MS / NQE,HS / NQE,MS,MS,MS,MS,HS / UTE,HS / UTE,MS / NQE,MS,MS,MS,UTE,UTE,UTE,Lone Star Exam,Candidate Forum,UTE,UTE,UTE,UTE,UTE,UTE,UTE,UTE,UTE,UTE,UTE,UTE,UTE,UTE,UTE,UTE,UTE,,
,Audio Podcasting,Catapult Trebuchet,Challenging Technology Issues,Children's Stories,Coding,Cyber Security,Data Science & Analytics,CO2 Dragsters  & Hot Rod & Research Racer,Drone Challenge,Flight Endurance,Inventions and Innovations,Medical Technology Issues,Off the Grid,Prepared Speech,RC Vehicle - Electric,Social Media Marketing ,Solar Racer & Senior Solar Racer,STEM animation,Video Game Design,Website Design,UTE computer skills - multi media presentation,UTE Graphic solutions bio-technology,UTE Graphic solutions - engineering design,Students must bring their own device,Voting Delegates from all schools meet with the Regional Officer Candidates for brief officer presentations then one on one questions.,"There are 87 UTEs that need to be Judged without any presentations.  Some of them are just one entry per catagory, but there are 57 that have more than one participant, and will need to be judged so that they recieve feedback so that they can improve for state. ",,HP30000 Mechanical Engineering - Free Hand Sketch of a Single or Multiple Part Mechanical Device. Pen or Pencil Only.,HP30003 Civil Engineering - Free Hand Sketch of a Civil Structure. Pen or Pencil Only.,HP30101 Mechanical Engineering - Working Drawings of a Single or Multiple Parts with a Pictorial View. Pen or Pencil Only,HP30104 Mechanical Engineering - Working Drawings of 6-12 Mechanical Parts. [CADD],HP32200 Study Model of a Single Family or Multifamily Residential Home,HP32201 Study Model of a Commercial Building,HP32300 Kits - Woods,HP32303 Kits - Other,HP40101 Display of Biotechnical Research or Applications,HP40201 Display of a Construction Structure,"HP40302 Display of Properties of Electrical Components, Semi-Conductor or Non Semi-Conductor",HP40701 Display of a Transportation Method,"HP41000 Air Foil Testing for Automobiles, Airplanes, or Rockets",HP41105 Prototype of an Electronic Device,HP41206 V5RC Robot Display,,
Judge 1,Coppell HS Students,Diego Morales Pantoja,Antoinetta Bertrand,Latasha Martin,Aakash Vishnuvarth,Govindaraj Palanisamy,Govindaraj Palanisamy,Meason Kolkhorst,Sharan Sathish,Clete Willson,Gopika Varadaraj,Shreya Chougule,Shon Slatton,Kyra Smith,Jeff St John,Tara Hrbacek,Kim Brady,Christine Shive,Diego Morales Pantoja,Christine Shive,Zercher,David Berry,David Berry,Zercher,Zercher,James Alford,David Janeski,James Alford,James Alford,James Alford,James Alford,James Alford,James Alford,James Alford,James Alford,James Alford,James Alford,James Alford,James Alford,James Alford,James Alford,James Alford,,
Judge 2,,,Anvika Gadamsetty,Anshelle Louisa,Doug Woodall,,,Grant Garner,,,Doug Woodall,Doug Woodall,,Krish Narsian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judge 3,,,Raksha Sriram,,,,,Arnav Sangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00 PM,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,,,,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,,GFX Solutions,GFX Solutions,,,,,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,Project Turn-In& Setup Time,,
5:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judging,,,,,,,,,,,,,,,,
5:20 PM,,UTE Catapult /,,,,,,Go/NoGo,NQE,Pilots Meeting,,,,,,Social Media ,,,,,,Bioitech,Engineering ,,,,,,Judging,,,,,,,,,,,,,,,
5:30 PM,,Trebuchet,,,test at school,,,Documentation ,Presentations,Evalustion of,,,,,,Marketing,,,,,,,Design,,,,,,,Judging,,,,,,,,,,,,,,
5:40 PM,,,,,Interview,,,score,MS 2 / 2 ,vehicles & Docs,,,,,,,,,,,,,,,,,,,,,Judging,,,,,,,,,,,,,
5:50 PM,,,,,,,,,HS 19 / 4,,,,,,,,,,,,Setup,,,Setup,,,,,,,,Judging,,,,,,,,,,,,
6:00 PM,,,,,,test at school,,MS Dragster,10 min to run ,2 Timed Flights,,Judging Project,,,,,,,,,Computer Skills,,,Lone Star Exam,,,,,,,,,Judging,,,,,,,,,,,
6:10 PM,,,,,,Presentation,,2,the challenge,,,,,,,,,,,,Multi Media,,,,,,,,,,,,,Judging,,,,,,,,,,
6:20 PM,,,,,,,,interviews right,+interviews,,,Interview,,,,,,,,,Presentation,,,,,,,,,,,,,,Judging,,,,,,,,,
6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:40 PM,,,,,,,,CO2 Research ,,,,,,,Setup Time,,Setup Time,,,,,,,,,,,,,,,,,,,Judging,,,,,,,,
6:50 PM,,,,,,,,Racer            5,,,,,,,Race Time,,MS 2 / 2,,,,,,,,,,,,,,,,,,,,Judging,,,,,,,
7:00 PM,,,,,,,,Hot Rod CO2 (5),,,,,Judging Project,,,,HS 31 / 9,,,,,,,,"Hosted by Mr, Zercher",,,,,,,,,,,,,Judging,,,,,,
7:10 PM,,,,,,,,Prelims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judging,,,,,
7:20 PM,,,,,,,,13,,,,,Interview,,,,,,,,,,,,,,,,,,,,,,,,,,,Judging,,,,
7:30 PM,,,,,,,,Interview room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judging,,,
7:40 PM,,,,,,,,E1506 @ 610P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judging,,
7:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:10 PM,,,,,,,,Semi-Finalists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:20 PM,,,,,,,,Posted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:30 PM,,,,,,,,Interviews (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,