,SCHEDULE IS SUBJECT TO CHANGE,,,,,,,,,,,SCHEDULE IS SUBJECT TO CHANGE,,,,,,SCHEDULE IS SUBJECT TO CHANGE,,,,,,,,,,,,SCHEDULE IS SUBJECT TO CHANGE,,,,,,,,
Number of participants,13,37,40,41,55,18,34,44,2,7,18,28,24,39,16,28,32,12,9,32,40,24,16,24,12,27,18,17,6,27,20,9,24,8,41,,,842
Number of teams,5,12,12,11,14,3,11,22,2,7,10,14,7,9,16,8,16,12,3,9,11,5,16,24,12,8,7,7,2,9,10,9,13,3,10,,,349
Room Number,Libary Annex,C1339,D1425,C1345,C1349,D2418,D2430,D2430,E2511*,E2511*,E1504,D1427,E2504,C1345,D1431/D1432,C1339,D1421/D1418,D2409,E1504,Libary Annex,E1504,no room needed,,D2422/D2421,E1507*,D1425,,E1508,E2512*,E2508*,E2515,C1345,C1338,E2515,E2504,C1346,E2516,
Event Guide,Animatronics,Architectural Design,Audio Podcasting,Biotechnology Design,Board Game Design,Chapter Team,Children's Stories,Coding,CAD Architecture,CAD Engineering,Data Science & Analytics,Debating Technological Issues,Digital Video Production,Engineering Design,Extemporaneous Speech,Fashion Design,Forensic Science,Future Technology Teacher,Geospatial Technology,Manufacturing Prototype,Music Production,On Demand Video,Photographic Technology,Prepared Presentation,Promotional Design,Software Development,STEM Mass Media,Structural Design & Engineering,System Control Technology,Technology Bowl,Technological Problem Solving,Transportation Modeling,Video Game Design,Virtual Reality (VR),Webmaster,Candidate Forum,Lonestar Exam,
Judge 1,Meason Kolkhorst,Nate Moorefield,Jose Valerio,Julia McCollom,,,Toni Joubert,Kim Wright,David Berry,David Berry,Govindaraj Palanisamy,Shawn Massey,Kevin Rodriguez,,Jose Valerio,Tiffany Isaac,Tyler Smith (This is his room anyway),Kevin Rodriguez,Oscar Salguero ,,Julia McCollom,James Alford,,Govindaraj Palanisamy,Cynthia Boone-Klien,,Zercher,,,Prelim - ,,,,James Alford,,,Jeff St John,
Judge 2,,,,,,,,,,,,,,,,,,,,,,,,Finals -,,,,,,,,,,,,,,
Judge 3,,,,,,,,,,,,,,,,,,,,,,,,Asst.,,,,,,,,,,,,,,
7:30 AM,Judges Meeting,,,,,,,,Set Up,Set Up,Judges Meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:40 AM,,,,,,Sign ups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Interview ZOOM,,,,,,,,,,,
8:00 AM,Presentations,Pre submission,On-Site,Presentations,Presentations,,Presentations,,On Site Event,On Site Event,Sign ups,Pre-Meeting,pre sub,,,,Scene set up,,,,Pre sub,Onsite Prompt ,,Assign times,Pre sub,Sign ups,Monday before,,,,,,,,,,,
8:10 AM,15 min per ,grading,Challenge,Sign ups,Board game ,,story books ,,,,,Sign ups,5 minute vid,,,,Sign ups,,,,scoring,given - then,,24 entries,drop off,,,,,,,,,,,,,
8:20 AM,team (5),,Pre Sub,10 minutes per,evaluations w/o,,evaluated w/o,,3 hours to ,3 hours to,,20 minuts per,,,,,,,,,listening to 3 min,online sub,,,,Presentations,,Check-in,,,,,,Pre sub,,,,
8:30 AM,,,5 minute vid,team (11),Sign ups,,Sign ups,,compete,compete,,round (7) rounds,Sign ups,,,,,Sign ups,,,music pieces,,,,,,,Prel-Built Test,On Site,,,,,scorred,,,,
8:40 AM,,,(12) teams,,,,,,,,,,for interview,,,,,,,,Semi Finalists,,,,,,,E1514,Activity,,,,,,,,,
8:50 AM,,semifinal round,~1:00 hour,,,,,,,,Presentation,,,,,,,,,,Posted,,,,,,,,,,,,,presentation &,,,,
9:00 AM,,10 minutes per,,,10 minutes per,,15 minute per,,,,10 min per,Schedule Needed,(7) teams,,,,On Site,,,,Sign ups,,,,,,,On-Site ,,,,,,interviews,,,,
9:10 AM,,team (10),,,team &interview,,Team story,,,,team (10),,,,,,Activity,,,,,,,,,,,Challenge,,,,,,,,,,
9:20 AM,,~2:00 hrs,,,~ 2:30 hours,,presentation &,,,,,,,,,,20 min view of ,,,,,,,,,,,E1508,,,,,,,,,,
9:30 AM,,,,,,,interviews  (11),,,,,,,,,,crime scene,,,,,,,,,,,,,,,,,,,,,
9:40 AM,,,Semi-Finalists,,,,~2:45 hours,,,,,,,,,,20 min to,,,,,,,,,,,,,,On-Site Event,,,,,,,
9:50 AM,,,Posted,,,,,,,,,,,,,,write report,,,,,,,,,,,,,,90 min event,,,,,,,
10:00 AM,,,,,,,,,,,,,Team interviews,,,,,,,,,,,,,,,,,,,,,,,,,
10:10 AM,,,,,,,,,,,Semi-Finalists,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:20 AM,,,,,,,,,,,Posted,,,,,,,,,,,,,,,,,,,On Site ,,,,,,,,
10:30 AM,,,,,,,,,,,On-SIte,,,Presentations,,,,,,,,,,,,,evaluation of ,,,Activity,,,,,,,,
10:40 AM,,,,,,,,,,,Challenge,,,15 min per,,10 minute ,,,,,,,,,,,submissions,,,,,,,,,,,
10:50 AM,,,,,,,,,,,2hrs to,Semi-Finalists,,team,,presentation &,,,,,,,,,,,,,,,,,,,,,,
11:00 AM,,,,,,,,,,,submit PDF.,Posted,,"""+interviews",,interview,,,,,,,Pre sub,,,,,,,,,,,,,,,
11:10 AM,,,,,,,,,Interviews,Interviews,to HQ,,,,,,,,,,,,scoring,,,,,,,,,,,,,,,
11:20 AM,,,,,,,,,,,,,,~2:30 hrs,,,,,,,,,,,,,,,,,,,,,,,,
11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evaluation and,,,,,,,
12:00 PM,,,New Vid Sub,,,,,,,,,,,,,,,,Pre sub,Pre sub,,,,,,,,,,,scoring,,,,Pre Sub,,,
12:10 PM,,,grading,,,,,,,,,,,,,,,,scoring,scoring,,,,,,,,,,,,,,,scored,,,
12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interviews,,,
12:30 PM,,,interview,,,,,,,,,,,,,,,,,,,,,Semi Finalists,,,,,,,,,,,,,,
12:40 PM,,,12 teams,,,,,,,,,,,,,,,,,,,,,Posted,,,,,,,,,,,,,,
12:50 PM,,,,,,,,,,,,,,,,,,,,,,,,Sign ups,,,,,,,,,,,,,,
1:00 PM,,,,,,Team 1,,Pre test on ,,,,Top 12 adv,,,On Site,,,,10 minutes for,2 min for,,,10 portfolio ,,,,,,,,,,,,,Voting,testing,
1:10 PM,,,,,,,,home campus,,,,Finals,,,Activity,,,15 min for prep,presentations &,sales pitchers,,,reviews &,,,,,,,,,,,,,,,
1:20 PM,,,,,,Team 2,,,,,,Rounds (6),,,15 min prep,,,Presentations,interview,,,,interviews,,,,,,,,,,,,,,,
1:30 PM,,,,,,,,top 10 team,,,,Schedule Needed,,,Speech is 3-5,,On Site,& breakdown,~0:30,,,,,Semi-finalist,Semifinal round,,,,,,,,,,,,,
1:40 PM,,,,,,Team 3,,2 hr design ,,,,,,,minutes each,,Activity,~3:00 hrs,,,,,,Presentations,on-site,,,,,,,,,,,,,
1:50 PM,,,,,,,,challenge,,,,,,,(16)Teams =,,20 min view of ,,,,,,,,challenge,,,,,,,,,,,,,
2:00 PM,,,,,,Test at school,,,,,,,,,~90 minutes,,crime scene,,,,2 min per team,,,,30 min prep,,,Destrutive,,,,The interview,Pre Sub Game,,,,,
2:10 PM,,,,,,,,,,,,,,,,,20 min to,,,,interviews,,,,2hr  limit,,,Testing,,,,,must be a ,,,,,
2:20 PM,,,,,,,,,,,,,,,,,write report,,,,,,,,,,,,,,,,playable game,,,,,
2:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 minutes per ,,,,,
2:40 PM,,,,,,,,,,,,,,,,,needs scene &,,,,,,,,,,,,,,,,game,,,,,
2:50 PM,,,,,,,,,,,,,,,,,office for writing,,,,,,,,,,,,,,,,~ 1:00 of game,,,,,
3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play,,,,,
3:10 PM,,,,,,,,,,,,,,,,,~3:30 hrs,,,,,,,,,,,,,,,,,,,,,
3:20 PM,,,,,,,,,,,,,,,Semi-Finalists,,,,,,,,,,,,,,,,,,,,,,,
3:30 PM,,,,,,,,,,,,,,,Posted,,,,,,,,,,,,,,,,,,,,,,,
3:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 interviews,,,,,
3:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00 PM,,,,,,,,,,,,,,,On Site,,,,,,,,,,,,,,,,,,,,,,,
4:10 PM,,,,,,,,,,,,,,,Activity,,,,,,,,,,,,,,,,,,,,,,,
4:20 PM,,,,,,,,,,,,,,,15 min prep,,,,,,,,,,,,,,,,,,,,,,,
4:30 PM,,,,,,,,,,,,,,,Speech is 3-5,,,,,,,,,,,,,,,,,,,,,,,
4:40 PM,,,,,,,,,,,,,,,minutes each,,,,,,,,,,,,,,,,,,,,,,,
4:50 PM,,,,,,,,,,,,,,,(10)Teams =,,,,,,,,,,,,,,,,,,,,,,,
5:00 PM,,,,,,,,,,,,,,,~50 minutes,,,,,,,,10 minutes,,,,,,,,,,,,,,,
5:10 PM,,,,,,,,,,,,,,,,,,,,,,,5 to present,,,,,,,,,,,,,,,
5:20 PM,,,,,,,,,,,,,,,,,,,,,,,5 for q&A,,,,,,,,,,,,,,,
5:30 PM,,,,,,,,,,,,,,,,,,,,,,,16 entries,,,,,,,,,,,,,,,
5:40 PM,,,,,,,,,,,,,,,,,,,,,,,given 24 hrs to,,,,,,,,,,,,,,,
5:50 PM,,,,,,,,,,,,,,,,,,,,,,,create port,,,,,,,,,,,,,,,
6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,